C-BIMSCHULJAHR-0;C-BIMAUSBILDN4-0;C-BIMSEX-0;C-BIMAMSTBIM18M6-0;F-BIBER_ABSCHL_EXTERN
2008;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-1;52459
2008;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-2;416
2008;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-3;1671
2008;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-4;2612
2008;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-1;45949
2008;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-2;774
2008;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-3;1480
2008;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-4;2620
2008;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-1;1044
2008;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-2;20095
2008;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-3;2655
2008;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-4;2451
2008;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-1;714
2008;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-2;12685
2008;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-3;1558
2008;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-4;1919
2008;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-1;2050
2008;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-2;2265
2008;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-3;359
2008;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-4;775
2008;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-1;3800
2008;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-2;2965
2008;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-3;504
2008;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-4;861
2008;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-1;211
2008;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-2;3656
2008;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-3;89
2008;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-4;132
2008;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-1;241
2008;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-2;4021
2008;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-3;46
2008;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-4;397
2008;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-1;6093
2008;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-2;522
2008;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-3;69
2008;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-4;934
2008;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-1;9378
2008;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-2;509
2008;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-3;80
2008;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-4;901
2008;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-1;4574
2008;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-2;4354
2008;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-3;312
2008;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-4;691
2008;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-1;6497
2008;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-2;5471
2008;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-3;313
2008;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-4;883
2008;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-1;106
2008;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-2;94
2008;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-3;2
2008;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-4;6
2008;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-1;94
2008;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-2;145
2008;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-3;5
2008;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-4;28
2008;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-1;305
2008;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-2;1182
2008;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-3;34
2008;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-4;95
2008;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-1;529
2008;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-2;1780
2008;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-3;55
2008;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-4;318
2008;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-1;7118
2008;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-2;7234
2008;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-3;296
2008;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-4;1775
2008;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-1;7468
2008;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-2;9220
2008;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-3;428
2008;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-4;2742
2008;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-1;3034
2008;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-2;4977
2008;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-3;464
2008;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-4;780
2008;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-1;1279
2008;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-2;3295
2008;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-3;293
2008;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-4;719
2009;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-1;51601
2009;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-2;422
2009;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-3;1530
2009;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-4;2678
2009;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-1;45451
2009;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-2;727
2009;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-3;1409
2009;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-4;2532
2009;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-1;1075
2009;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-2;21016
2009;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-3;2563
2009;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-4;2580
2009;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-1;706
2009;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-2;13709
2009;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-3;1597
2009;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-4;1996
2009;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-1;2036
2009;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-2;2401
2009;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-3;372
2009;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-4;824
2009;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-1;3869
2009;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-2;3254
2009;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-3;490
2009;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-4;755
2009;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-1;232
2009;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-2;4318
2009;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-3;106
2009;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-4;130
2009;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-1;237
2009;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-2;4406
2009;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-3;77
2009;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-4;404
2009;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-1;6153
2009;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-2;533
2009;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-3;110
2009;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-4;972
2009;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-1;9398
2009;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-2;552
2009;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-3;80
2009;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-4;912
2009;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-1;4568
2009;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-2;4573
2009;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-3;270
2009;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-4;728
2009;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-1;6768
2009;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-2;5551
2009;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-3;314
2009;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-4;892
2009;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-1;202
2009;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-2;147
2009;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-3;6
2009;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-4;24
2009;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-1;163
2009;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-2;205
2009;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-3;5
2009;BIMEXTAUSBILDN4-800;2;BIMEXTAMSTBIM6-4;31
2009;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-1;351
2009;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-2;1720
2009;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-3;52
2009;BIMEXTAUSBILDN4-900;1;BIMEXTAMSTBIM6-4;157
2009;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-1;697
2009;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-2;2227
2009;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-3;68
2009;BIMEXTAUSBILDN4-900;2;BIMEXTAMSTBIM6-4;338
2009;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-1;7505
2009;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-2;7778
2009;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-3;291
2009;BIMEXTAUSBILDN4-110;1;BIMEXTAMSTBIM6-4;2005
2009;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-1;7883
2009;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-2;9616
2009;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-3;469
2009;BIMEXTAUSBILDN4-110;2;BIMEXTAMSTBIM6-4;2844
2009;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-1;2916
2009;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-2;4563
2009;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-3;366
2009;BIMEXTAUSBILDN4-980;1;BIMEXTAMSTBIM6-4;698
2009;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-1;1369
2009;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-2;3448
2009;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-3;303
2009;BIMEXTAUSBILDN4-980;2;BIMEXTAMSTBIM6-4;672
2010;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-1;51177
2010;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-2;338
2010;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-3;1552
2010;BIMEXTAUSBILDN4-100;1;BIMEXTAMSTBIM6-4;2711
2010;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-1;45330
2010;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-2;666
2010;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-3;1321
2010;BIMEXTAUSBILDN4-100;2;BIMEXTAMSTBIM6-4;2523
2010;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-1;1185
2010;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-2;21112
2010;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-3;2786
2010;BIMEXTAUSBILDN4-300;1;BIMEXTAMSTBIM6-4;2577
2010;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-1;746
2010;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-2;13137
2010;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-3;1760
2010;BIMEXTAUSBILDN4-300;2;BIMEXTAMSTBIM6-4;1889
2010;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-1;2264
2010;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-2;2456
2010;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-3;352
2010;BIMEXTAUSBILDN4-400;1;BIMEXTAMSTBIM6-4;827
2010;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-1;3862
2010;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-2;3073
2010;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-3;442
2010;BIMEXTAUSBILDN4-400;2;BIMEXTAMSTBIM6-4;854
2010;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-1;159
2010;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-2;3673
2010;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-3;127
2010;BIMEXTAUSBILDN4-500;1;BIMEXTAMSTBIM6-4;123
2010;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-1;223
2010;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-2;3849
2010;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-3;56
2010;BIMEXTAUSBILDN4-500;2;BIMEXTAMSTBIM6-4;351
2010;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-1;6030
2010;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-2;514
2010;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-3;73
2010;BIMEXTAUSBILDN4-600;1;BIMEXTAMSTBIM6-4;1023
2010;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-1;9366
2010;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-2;519
2010;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-3;67
2010;BIMEXTAUSBILDN4-600;2;BIMEXTAMSTBIM6-4;941
2010;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-1;4769
2010;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-2;4671
2010;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-3;303
2010;BIMEXTAUSBILDN4-700;1;BIMEXTAMSTBIM6-4;784
2010;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-1;6736
2010;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-2;5867
2010;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-3;301
2010;BIMEXTAUSBILDN4-700;2;BIMEXTAMSTBIM6-4;899
2010;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-1;225
2010;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-2;212
2010;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-3;9
2010;BIMEXTAUSBILDN4-800;1;BIMEXTAMSTBIM6-4;37
