code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
BIMEXTAUSBILDN4-100;Pflichtschule/Polytechnische Schule;;Pflichtschule/Polytechnische Schule;;;;;;
BIMEXTAUSBILDN4-300;Lehre;;Lehre;;;;;;
BIMEXTAUSBILDN4-400;BMS;;BMS;;;;;;
BIMEXTAUSBILDN4-500;Sonstige BMS;;Sonstige BMS;;;;;;
BIMEXTAUSBILDN4-600;AHS;;AHS;;;;;;
BIMEXTAUSBILDN4-700;BHS;;BHS;;;;;;
BIMEXTAUSBILDN4-800;Sonstige BHS;;Sonstige BHS;;;;;;
BIMEXTAUSBILDN4-900;Hochschullehrgang;;Hochschullehrgang;;;;;;
BIMEXTAUSBILDN4-110;Hochschule;;Hochschule;;;;;;
BIMEXTAUSBILDN4-980;Sonstige Ausbildung;;Sonstige Ausbildung;;;;;;
