C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-15;1;334947
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-15;2;287346
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-65;1;2674
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-65;2;1517
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-15;1;41316
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-15;2;94469
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-65;1;60
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-65;2;67
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-15;1;382998
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-15;2;231389
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-65;1;88
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-65;2;33
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-15;1;45750
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-15;2;43526
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-65;1;19559
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-65;2;9515
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-15;1;114307
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-15;2;154920
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-65;1;1
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-65;2;3
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-15;1;279807
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-15;2;223348
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-15;0;3
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-65;1;1531
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-65;2;2308
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-15;1;22998
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-15;2;59711
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-65;1;33
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-65;2;33
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-15;1;6473
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-15;2;5955
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-65;2;1
